timestamp_ms,thruster0,thruster1,thruster2,thruster3,thruster4,thruster5,thruster6,thruster7,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
17887627,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.05,-0.33,0.05,-0.00,0.00
17887637,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,-0.01,-0.30,0.04,-0.00,0.00
17887647,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.03,-0.25,0.04,-0.00,-0.00
17887657,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.03,0.07,-0.26,0.04,-0.00,0.00
17887667,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.06,0.03,-0.24,0.04,0.00,0.00
17887677,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.00,0.03,-0.20,0.04,-0.00,-0.00
17887687,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.04,0.04,-0.23,0.04,0.00,-0.00
17887697,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.06,0.03,-0.20,0.04,-0.00,0.00
17887707,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.00,-0.01,-0.22,0.04,-0.00,0.00
17887717,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.01,-0.15,0.04,0.00,-0.00
17887727,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,-0.07,-0.17,0.04,-0.00,0.00
17887737,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.01,0.03,-0.15,0.04,-0.00,0.00
17887747,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.08,0.05,-0.18,0.04,0.00,-0.00
17887757,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.01,0.04,-0.14,0.04,0.00,0.00
17887767,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.06,0.04,-0.10,0.04,-0.00,0.00
17887777,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.07,0.01,-0.19,0.04,0.00,0.00
17887787,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.02,0.03,-0.07,0.04,0.00,-0.00
17887797,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.03,0.00,-0.06,0.04,-0.00,0.00
17887807,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.05,0.05,-0.16,0.04,0.00,-0.00
